Group,mean,sd,n,sem,ci95
LPS_BSP,332.8181818181818,189.26532602767904,11,57.06564293255431,127.15017613038268
LPS_DZP,265.0833333333333,141.2692196631751,12,40.78091100037126,89.75817992648064
LPS_NS,235.08333333333334,119.76071471012015,12,34.57194043811492,76.09232785956254
NS_BSP,215.55555555555554,108.00012860074648,9,36.00004286691549,83.01624771863436
NS_DZP,189.5,78.8071787883022,8,27.862545263694564,65.88445024163384
NS_NS,151.83333333333334,41.402495898999454,6,16.902498171703627,43.449254777057355
